Nr,TID,PID,x [micron],y [micron],t [sec],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
68,6,7,564.205,622.159,5700.19,147,43.098,12.461,NA,5.36,0.018,32.005,136.042
69,6,8,564.205,623.864,6000.2,77,44.803,13.754,NA,1.705,0.006,90,57.995
70,6,9,564.205,623.864,6300.21,154,44.803,13.754,NA,0,0,0,-90
71,6,10,564.205,623.864,6600.22,183,44.803,13.754,NA,0,0,0,0
72,6,11,568.182,623.864,6900.23,108,48.78,11.713,NA,3.977,0.013,0,0
73,6,12,569.886,614.773,7200.24,154,58.029,3.313,NA,9.249,0.031,-79.38,-79.38
74,6,13,571.023,626.705,7500.25,209,70.015,13.742,NA,11.986,0.04,84.56,163.94
75,6,14,570.455,622.727,7800.26,127,74.033,9.923,NA,4.018,0.013,-98.13,177.31
76,6,15,570.455,622.727,8100.27,159,74.033,9.923,NA,0,0,0,98.13
77,6,16,570.455,622.727,8400.28,185,74.033,9.923,NA,0,0,0,0
