Nr,TID,PID,x [micron],y [micron],t [sec],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,644.886,449.811,0,231,0,0,NA,NA,NA,NA,NA
2,1,2,630.114,433.144,300.011,181,22.271,22.271,NA,22.271,0.074,-131.553,NA
3,1,3,646.023,432.765,600.021,185,38.185,17.083,NA,15.914,0.053,-1.364,130.189
4,1,4,621.023,431.25,900.032,243,63.231,30.232,NA,25.046,0.083,-176.532,-175.168
5,1,5,614.962,431.25,1200.042,255,69.291,35.213,NA,6.061,0.02,180,-3.468
6,1,6,614.962,431.25,1500.053,204,69.291,35.213,NA,0,0,0,-180
7,1,7,620.265,425.189,1800.063,211,77.345,34.82,NA,8.053,0.027,-48.814,-48.814
8,1,8,623.674,422.917,2100.074,142,81.442,34.253,NA,4.097,0.014,-33.69,15.124
9,1,9,617.614,418.75,2400.084,255,88.796,41.335,NA,7.355,0.025,-145.491,-111.801
10,1,10,615.341,408.902,2700.095,238,98.904,50.463,NA,10.107,0.034,-102.995,42.497
11,1,11,616.098,408.902,3000.106,255,99.661,50.023,NA,0.758,0.003,0,102.995
12,1,12,617.235,411.932,3300.116,211,102.898,46.898,NA,3.236,0.011,69.444,69.444
13,1,13,617.235,413.826,3600.127,255,104.792,45.382,NA,1.894,0.006,90,20.556
14,1,14,611.174,413.826,3900.137,238,110.852,49.309,NA,6.061,0.02,180,90
15,2,1,675.568,481.25,3900.137,201,0,0,NA,NA,NA,NA,NA
16,2,2,678.977,478.598,4200.148,191,4.319,4.319,NA,4.319,0.014,-37.875,NA
17,2,3,671.402,474.811,4500.158,173,12.789,7.67,NA,8.47,0.028,-153.435,-115.56
18,2,4,671.78,474.053,4800.169,125,13.636,8.133,NA,0.847,0.003,-63.435,90
19,2,5,673.674,474.053,5100.18,115,15.53,7.442,NA,1.894,0.006,0,63.435
20,2,6,650.568,458.523,5400.19,134,43.37,33.787,NA,27.84,0.093,-146.094,-146.094
21,2,7,678.977,478.598,5700.201,213,78.157,4.319,NA,34.787,0.116,35.248,-178.659
22,2,8,682.008,482.008,6000.211,170,82.718,6.484,NA,4.561,0.015,48.366,13.119
23,3,1,679.356,553.977,1200.042,74,0,0,NA,NA,NA,NA,NA
24,3,2,685.038,566.098,1500.053,91,13.387,13.387,NA,13.387,0.045,64.885,NA
25,3,3,685.038,572.917,1800.063,71,20.205,19.773,NA,6.818,0.023,90,25.115
26,3,4,685.038,577.083,2100.074,136,24.372,23.794,NA,4.167,0.014,90,0
27,3,5,701.705,569.886,2400.084,116,42.526,27.433,NA,18.154,0.061,-23.356,-113.356
28,3,6,703.598,578.22,2700.095,96,51.072,34.284,NA,8.546,0.028,77.196,100.551
29,4,1,697.538,505.114,0,255,0,0,NA,NA,NA,NA,NA
30,4,2,696.023,505.114,300.011,255,1.515,1.515,NA,1.515,0.005,180,NA
31,4,3,691.856,505.114,600.021,255,5.682,5.682,NA,4.167,0.014,180,0
32,4,4,685.038,505.114,900.032,158,12.5,12.5,NA,6.818,0.023,180,0
33,4,5,685.038,505.114,1200.042,255,12.5,12.5,NA,0,0,0,-180
34,4,6,685.038,505.114,1500.053,255,12.5,12.5,NA,0,0,0,0
35,4,7,680.871,502.462,1800.063,123,17.439,16.876,NA,4.939,0.016,-147.529,-147.529
36,4,8,680.871,502.462,2100.074,255,17.439,16.876,NA,0,0,0,147.529
37,4,9,680.871,502.462,2400.084,205,17.439,16.876,NA,0,0,0,0
38,4,10,680.871,502.462,2700.095,178,17.439,16.876,NA,0,0,0,0
39,4,11,680.871,502.462,3000.106,132,17.439,16.876,NA,0,0,0,0
40,4,12,677.841,503.22,3300.116,239,20.562,19.788,NA,3.124,0.01,165.964,165.964
41,4,13,677.841,503.22,3600.127,255,20.562,19.788,NA,0,0,0,-165.964
42,4,14,671.023,496.023,3900.137,255,30.476,28.03,NA,9.914,0.033,-133.452,-133.452
43,4,15,675.189,506.629,4200.148,238,41.871,22.4,NA,11.395,0.038,68.552,-157.996
44,4,16,675.568,506.629,4500.158,255,42.25,22.022,NA,0.379,0.001,0,-68.552
45,4,17,675.568,500.189,4800.169,213,48.69,22.515,NA,6.439,0.021,-90,-90
46,4,18,673.674,504.356,5100.18,189,53.266,23.876,NA,4.577,0.015,114.444,-155.556
47,4,19,673.674,504.356,5400.19,214,53.266,23.876,NA,0,0,0,-114.444
48,4,20,673.674,504.356,5700.201,182,53.266,23.876,NA,0,0,0,0
49,4,21,678.598,510.038,6000.211,201,60.785,19.569,NA,7.519,0.025,49.086,49.086
50,4,22,678.598,510.038,6300.222,248,60.785,19.569,NA,0,0,0,-49.086
51,4,23,678.598,510.038,6600.232,181,60.785,19.569,NA,0,0,0,0
52,4,24,682.765,507.008,6900.243,229,65.937,14.894,NA,5.152,0.017,-36.027,-36.027
53,4,25,682.765,511.932,7200.253,248,70.861,16.27,NA,4.924,0.016,90,126.027
54,4,26,702.083,520.265,7500.264,228,91.9,15.819,NA,21.039,0.07,23.334,-66.666
55,4,27,704.735,520.265,7800.275,255,94.552,16.774,NA,2.652,0.009,0,-23.334
56,5,1,708.902,504.356,3000.106,113,0,0,NA,NA,NA,NA,NA
57,5,2,711.553,488.826,3300.116,255,15.755,15.755,NA,15.755,0.053,-80.311,NA
58,5,3,710.795,486.174,3600.127,255,18.513,18.28,NA,2.758,0.009,-105.945,-25.634
59,5,4,710.417,485.417,3900.137,255,19.36,19,NA,0.847,0.003,-116.565,-10.62
60,5,5,714.583,485.417,4200.148,255,23.526,19.773,NA,4.167,0.014,0,116.565
61,5,6,716.477,484.28,4500.158,255,25.735,21.458,NA,2.209,0.007,-30.964,-30.964
62,5,7,716.477,491.098,4800.169,252,32.553,15.269,NA,6.818,0.023,90,120.964
63,5,8,716.477,491.098,5100.18,255,32.553,15.269,NA,0,0,0,-90
64,5,9,716.477,491.098,5400.19,251,32.553,15.269,NA,0,0,0,0
65,5,10,715.341,491.098,5700.201,255,33.69,14.739,NA,1.136,0.004,180,180
66,6,1,573.295,500.568,6300.222,36,0,0,NA,NA,NA,NA,NA
67,6,2,573.295,497.917,6600.232,6,2.652,2.652,NA,2.652,0.009,-90,NA
68,6,3,573.295,497.917,6900.243,12,2.652,2.652,NA,0,0,0,90
69,6,4,572.159,496.023,7200.253,7,4.86,4.685,NA,2.209,0.007,-120.964,-120.964
70,6,5,572.159,496.023,7500.264,41,4.86,4.685,NA,0,0,0,120.964
71,6,6,571.402,496.402,7800.275,19,5.707,4.577,NA,0.847,0.003,153.435,153.435
72,6,7,568.371,498.674,8100.285,8,9.495,5.276,NA,3.788,0.013,143.13,-10.305
73,6,8,568.371,498.674,8400.296,11,9.495,5.276,NA,0,0,0,-143.13
74,6,9,568.371,498.674,8700.306,11,9.495,5.276,NA,0,0,0,0
75,6,10,568.371,498.674,9000.317,7,9.495,5.276,NA,0,0,0,0
76,6,11,568.371,504.735,9300.327,21,15.556,6.451,NA,6.061,0.02,90,90
77,6,12,568.371,504.735,9600.338,21,15.556,6.451,NA,0,0,0,-90
78,6,13,572.159,503.598,9900.348,23,19.51,3.236,NA,3.955,0.013,-16.699,-16.699
79,6,14,572.159,503.598,10200.359,29,19.51,3.236,NA,0,0,0,16.699
80,6,15,572.159,503.598,10500.37,14,19.51,3.236,NA,0,0,0,0
81,6,16,572.159,503.598,10800.38,29,19.51,3.236,NA,0,0,0,0
82,6,17,572.159,503.598,11100.391,20,19.51,3.236,NA,0,0,0,0
83,6,18,576.705,507.386,11400.401,22,25.427,7.623,NA,5.917,0.02,39.806,39.806
84,6,19,576.705,507.765,11700.412,43,25.806,7.964,NA,0.379,0.001,90,50.194
85,6,20,576.705,507.765,12000.422,32,25.806,7.964,NA,0,0,0,-90
86,6,21,576.705,513.826,12300.433,40,31.867,13.689,NA,6.061,0.02,90,90
87,6,22,574.053,515.341,12600.443,41,34.92,14.792,NA,3.054,0.01,150.255,60.255
88,6,23,574.053,515.341,12900.454,65,34.92,14.792,NA,0,0,0,-150.255
89,6,24,564.962,516.477,13200.465,43,44.082,17.959,NA,9.162,0.031,172.875,172.875
90,6,25,557.386,519.508,13500.475,7,52.241,24.735,NA,8.159,0.027,158.199,-14.676
91,6,26,550.568,528.598,13800.486,86,63.605,36.086,NA,11.364,0.038,126.87,-31.329
92,6,27,543.75,536.174,14100.496,42,73.797,46.268,NA,10.192,0.034,131.987,5.117
93,6,28,531.629,535.417,14400.507,43,85.942,54.319,NA,12.145,0.04,-176.424,51.589
94,6,29,527.841,535.417,14700.517,76,89.73,57.276,NA,3.788,0.013,180,-3.576
95,6,30,527.462,535.417,15000.528,102,90.109,57.577,NA,0.379,0.001,180,0
96,6,31,535.795,551.705,15300.539,47,108.405,63.413,NA,18.296,0.061,62.904,-117.096
97,6,32,535.795,552.083,15600.549,31,108.783,63.719,NA,0.379,0.001,90,27.096
98,6,33,535.795,552.083,15900.56,38,108.783,63.719,NA,0,0,0,-90
99,6,34,535.795,552.083,16200.57,33,108.783,63.719,NA,0,0,0,0
100,6,35,535.795,552.083,16500.581,37,108.783,63.719,NA,0,0,0,0
101,6,36,535.795,552.083,16800.591,41,108.783,63.719,NA,0,0,0,0
102,6,37,520.644,561.553,17100.602,58,126.651,80.569,NA,17.867,0.06,147.995,147.995
103,6,38,520.265,561.553,17400.612,42,127.03,80.817,NA,0.379,0.001,180,32.005
104,6,39,520.265,561.553,17700.623,21,127.03,80.817,NA,0,0,0,-180
105,6,40,512.689,558.144,18000.634,49,135.337,83.595,NA,8.307,0.028,-155.772,-155.772
106,6,41,512.689,558.144,18300.644,99,135.337,83.595,NA,0,0,0,155.772
107,6,42,508.144,555.114,18600.655,22,140.8,84.97,NA,5.463,0.018,-146.31,-146.31
108,6,43,513.447,550.947,18900.665,42,147.544,78.23,NA,6.744,0.022,-38.157,108.153
109,6,44,513.447,550.947,19200.676,40,147.544,78.23,NA,0,0,0,38.157
110,6,45,513.447,550.947,19500.686,36,147.544,78.23,NA,0,0,0,0
111,6,46,513.447,550.947,19800.697,5,147.544,78.23,NA,0,0,0,0
112,6,47,515.341,553.598,20100.707,39,150.803,78.555,NA,3.258,0.011,54.462,54.462
113,6,48,508.523,550.947,20400.718,40,158.118,82.058,NA,7.316,0.024,-158.749,146.788
114,6,49,508.144,534.659,20700.729,86,174.411,73.532,NA,16.292,0.054,-91.332,67.417
115,6,50,541.477,533.144,21000.739,54,207.778,45.537,NA,33.368,0.111,-2.603,88.73
116,6,51,559.659,528.598,21300.75,45,226.52,31.171,NA,18.741,0.062,-14.036,-11.434
117,6,52,571.402,541.477,21600.76,28,243.948,40.953,NA,17.428,0.058,47.643,61.679
118,6,53,551.705,528.598,21900.771,36,267.482,35.382,NA,23.534,0.078,-146.821,165.536
